Ev_Honap,osszes_ora,negativ_ora,min_ar,atlag_ar
2015-01,574,0,0.22,42.3293031358885
2015-02,672,0,0.23,41.25901785714286
2015-03,743,0,0.1,35.68453566621804
2015-04,720,0,0.0,34.084208333333336
2015-05,744,0,1.53,29.64680107526882
2015-06,720,0,8.2,33.918375
2015-07,744,0,11.38,52.34831989247312
2015-08,744,0,12.1,42.48846774193549
2015-09,720,0,2.26,47.60743055555555
2015-10,751,0,17.15,43.925193075898804
2015-11,720,0,0.22,41.51473611111111
2015-12,743,0,0.04,42.3114266487214
2016-01,745,0,8.0,43.087395973154365
2016-02,696,3,-0.91,26.416939655172413
2016-03,743,0,0.78,25.836662180349933
2016-04,720,0,11.81,29.182819444444444
2016-05,744,3,-6.07,27.160806451612903
2016-06,720,0,13.23,32.75311111111111
2016-07,744,0,10.6,35.175524193548384
2016-08,744,0,10.6,33.00135752688172
2016-09,720,0,16.72,36.45102777777778
2016-10,751,0,23.25,45.45821571238349
2016-11,720,0,3.94,40.64169444444445
2016-12,743,0,19.9,49.152624495289366
2017-01,745,0,14.52,81.21869798657718
2017-02,672,0,8.01,55.58683035714286
2017-03,743,0,7.6,37.9121265141319
2017-04,720,0,7.4,39.67202777777778
2017-05,744,0,0.13,42.70866935483871
2017-06,720,0,10.1,43.917625
2017-07,744,0,12.92,51.85806451612903
2017-08,744,0,6.86,58.31434139784947
2017-09,720,0,4.93,42.88184722222222
2017-10,751,0,0.04,49.45924101198402
2017-11,720,0,9.95,60.45973611111111
2017-12,743,0,0.1,40.072745625841186
2018-01,745,2,-25.97,36.240510067114094
2018-02,672,0,1.3,41.65199404761905
2018-03,743,0,0.0,40.44314939434724
2018-04,720,0,0.01,31.924374999999998
2018-05,744,0,0.02,42.16756720430107
2018-06,720,0,18.06,51.27179166666667
2018-07,744,0,19.99,50.950913978494626
2018-08,744,0,17.66,60.44584677419355
2018-09,720,0,2.15,62.94354166666666
2018-10,751,0,15.06,64.19998668442078
2018-11,720,0,30.93,63.646430555555554
2018-12,743,0,9.98,65.08555854643338
2019-01,745,0,7.92,73.21422818791946
2019-02,672,0,15.39,49.56175595238095
2019-03,743,0,1.02,39.715033647375506
2019-04,720,0,0.02,46.46745833333333
2019-05,744,0,0.95,42.11982526881721
2019-06,720,0,10.09,41.309555555555555
2019-07,744,0,17.88,54.95383064516129
2019-08,744,0,20.72,58.68849462365591
2019-09,720,0,14.0,55.701930555555556
2019-10,751,0,17.59,56.67380825565912
2019-11,720,0,11.8,43.931666666666665
2019-12,743,0,0.0,41.09048452220727
2020-01,745,0,26.38,52.934000000000005
2020-02,696,0,11.21,39.84564655172414
2020-03,743,1,-0.91,29.77399730820996
2020-04,720,3,-8.12,25.328347222222224
2020-05,744,0,0.02,23.591236559139787
2020-06,720,0,3.38,29.968236111111114
2020-07,744,0,1.02,36.67916666666667
2020-08,744,0,10.17,37.604946236559144
2020-09,720,0,16.81,45.739583333333336
2020-10,751,0,0.4,39.1839414114514
2020-11,720,0,0.17,48.880694444444444
2020-12,743,0,3.05,58.20328398384926
2021-01,745,0,8.43,56.38370469798658
2021-02,672,0,0.67,50.854241071428575
2021-03,743,0,31.75,55.037967698519516
2021-04,720,0,0.02,62.940736111111114
2021-05,744,8,-35.0,59.9435752688172
2021-06,720,0,0.2,77.89759722222222
2021-07,744,0,45.49,95.15236559139785
2021-08,744,0,14.99,109.0165994623656
2021-09,720,0,60.06,135.09745833333332
2021-10,751,0,3.77,196.2832623169108
2021-11,720,0,72.55,215.86502777777778
2021-12,743,0,21.36,246.05574697173623
2022-01,745,0,7.07,204.5771812080537
2022-02,672,0,31.87,194.26800595238097
2022-03,743,0,11.77,285.58460296096905
2022-04,720,0,0.0,189.1822638888889
2022-05,744,0,13.57,204.83755376344087
2022-06,720,0,18.81,236.78627777777777
2022-07,744,0,17.94,371.0962231182796
2022-08,744,0,86.71,495.2902150537634
2022-09,720,0,25.68,391.3546111111111
2022-10,751,0,61.19,193.18450066577896
2022-11,720,0,49.86,222.74231944444443
2022-12,743,0,0.02,261.498802153432
2023-01,745,2,-2.56,148.51877852348994
2023-02,672,0,42.77,146.21145833333335
2023-03,743,0,1.64,113.36654104979812
2023-04,720,1,-0.19,106.71193055555555
2023-05,744,24,-23.74,88.19158602150537
2023-06,718,15,-17.29,96.4799582172702
2023-07,744,13,-500.0,94.97716397849462
2023-08,744,6,-10.46,100.41182795698924
2023-09,720,3,-1.12,103.81411111111112
2023-10,751,2,-1.1,104.15866844207723
2023-11,720,0,0.07,99.37530555555556
2023-12,743,8,-13.01,81.77924629878869
2024-01,745,0,0.0,85.61256375838926
2024-02,696,0,7.81,69.35204022988505
2024-03,743,6,-1.9,65.12423956931359
2024-04,720,48,-65.06,61.96173611111111
2024-05,744,77,-149.98,72.21452956989248
2024-06,720,52,-83.29,91.72148611111112
2024-07,744,36,-72.85,135.5420698924731
2024-08,744,21,-72.68,120.81479838709679
2024-09,720,9,-3.95,106.09840277777779
2024-10,751,13,-12.73,92.11756324900132
2024-11,720,0,44.17,163.71715277777778
2024-12,743,0,10.14,143.90051144010766
2025-01,745,0,13.57,140.1991543624161
2025-02,672,0,51.6,158.88308035714286
2025-03,743,10,-25.67,109.01905787348588
2025-04,720,70,-124.63,85.46441666666666
2025-05,744,76,-210.05,80.88891129032258
2025-06,720,53,-89.39,84.0958611111111
2025-07,744,5,-3.08,102.55884408602151
2025-08,744,43,-60.59,80.50838709677419
2025-09,720,24,-53.4,101.93430555555555
2025-10,751,0,0.1,122.00483355525967
2025-11,720,0,14.85,123.96666666666667
2025-12,743,0,47.28,116.38485868102288
2026-01,745,0,18.28,150.06162416107384
2026-02,672,3,-0.18,113.5566369047619
2026-03,743,18,-7.11,118.20088829071332
2026-04,720,78,-500.0,97.02794444444444
2026-05,744,51,-500.0,107.27755376344086
2026-06,600,36,-55.18,114.51263333333334
